locationID,name,chepChannel,type1,type2,address,country,state,city,zipcode,chepStatus,chepCompanyCode,chepAffiliation,chepSubAffiliation,chepServiceType,latitude,longitude,custom1,custom2,custom3,custom4,custom5
US69,CHEP Service Center - North Platte,SC,,One Way Trip,3001 East State Farm Road,US,NE,North Platte,69101,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.0917089,-100.7308497,,,SERVICE CENTER,,
USOB,CHEP Service Center - Ogden,SC,,One Way Trip,"218 North 800 West, Bldg 6e",US,UT,Ogden,84404,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.2587586,-111.9560938,,,SERVICE CENTER,,
USAE,CHEP Service Center - Olney,SC,,One Way Trip,3801 East Us Highway 50,US,IL,Olney,62450,ACTIVE,US10,SVC,TPM,SERVICE CENTER,38.7308811,-88.0853154,,,SERVICE CENTER,,
UST1,CHEP Service Center - Orlando,SC,,One Way Trip,"7315 Kingspointe Parkway, #200",US,FL,Orlando,32819,ACTIVE,US10,SVC,SC,SERVICE CENTER,28.461497,-81.439549,,,SERVICE CENTER,,
USAO,CHEP Service Center - Ottawa,SC,,One Way Trip,3300 Highway K66,US,KS,Ottawa,66067,ACTIVE,US10,SVC,TPM,SERVICE CENTER,39.030608,-97.5383385,,,SERVICE CENTER,,
USRG,CHEP Service Center - Pleasant View,SC,,One Way Trip,2751 North 1000 West,US,UT,Ogden,84412,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.3077134,-112.0031329,,,SERVICE CENTER,,
US41,CHEP Service Center - Porterville,SC,,One Way Trip,1300 South F & H Street,US,CA,Porterville,93257,ACTIVE,US10,SVC,TPM,SERVICE CENTER,36.06523,-119.0167679,,,SERVICE CENTER,,
US01,CHEP Service Center - Red Bluff,SC,,One Way Trip,10815 Highway 99 West,US,CA,Red Bluff,96080,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.1582797,-122.148028,,,SERVICE CENTER,,
USAS,CHEP Service Center - Saint James,SC,,One Way Trip,1106 Matlock Drive,US,MO,Saint James,65559,ACTIVE,US10,SVC,TPM,SERVICE CENTER,38.0101388,-91.6270914,,,SERVICE CENTER,,
USAF,CHEP Service Center - Spring Valley,SC,,One Way Trip,3100 Highway 89,US,IL,Spring Valley,61362,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.3532559,-89.2185924,,,SERVICE CENTER,,
USOS,CHEP Service Center - Woodburn,SC,,One Way Trip,400 South Woodland Avenue,US,OR,Woodburn,97071,ACTIVE,US10,SVC,TPM,SERVICE CENTER,45.1466275,-122.8875357,,,SERVICE CENTER,,
USPX,CHEP Service Center - York,SC,,One Way Trip,4875 Susquehanna Trail,US,PA,York,17406,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.077066,-76.7653073,,,SERVICE CENTER,,
USAQ,CHEP Service Center/IFCO - Pauls Valley,SC,,One Way Trip,300 Airline Boulevard,US,OK,Pauls Valley,73075,ACTIVE,US10,SVC,TPM,SERVICE CENTER,34.6929275,-97.2811559,,,SERVICE CENTER,,
USAR,CHEP Service Center/IFCO - Searcy,SC,,One Way Trip,405 Booth Road,US,AR,Searcy,72143,ACTIVE,US10,SVC,TPM,SERVICE CENTER,35.2243001,-91.7421756,,,SERVICE CENTER,,
UST6,CHEP Service Center/Meijer-Kamps - Lansing,SC,,One Way Trip,3301 South Creyts Road,US,MI,Lansing,48917,ACTIVE,US10,SVC,TPM,SERVICE CENTER,42.6943333,-84.6423266,,,SERVICE CENTER,,
UST8,CHEP Service Center/Meijer-Kamps - Newport,SC,,One Way Trip,8857 Swan Creek Road,US,MI,Newport,48166,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.9926168,-83.3196802,,,SERVICE CENTER,,
USAD,CHEP Service Center/Rehrig-Penn - Greencastle,SC,,One Way Trip,1528 East State Road 240,US,IN,Greencastle,46135,ACTIVE,US10,SVC,TPM,SERVICE CENTER,39.6461486,-86.8254607,,,SERVICE CENTER,,
USAV,CHEP Service Center/Rehrig-Penn - Grove City,SC,,One Way Trip,3880 Southwest Boulevard,US,OH,Grove City,43123,ACTIVE,US10,SVC,TPM,SERVICE CENTER,39.896871,-83.1019589,,,SERVICE CENTER,,
USAG,CHEP Service Center/Rehrig-Penn - Seymour,SC,,One Way Trip,2100 East Tipton Street,US,IN,Seymour,47274,ACTIVE,US10,SVC,TPM,SERVICE CENTER,38.956017,-85.849265,,,SERVICE CENTER,,
USS7,CHEP/Costco - College Park,SC,,One Way Trip,4250 South Fulton Parkway,US,GA,College Park,30349,ACTIVE,US10,SVC,TPM,SERVICE CENTER,33.6175052,-84.5177646,,,SERVICE CENTER,,
USVZ,CHEP/Costco - Dallas,SC,,One Way Trip,3730 Mountain Creek Parkway,US,TX,Dallas,75236,ACTIVE,US10,SVC,TPM,SERVICE CENTER,32.692918,-96.960967,,,SERVICE CENTER,,
USP9,CHEP/Costco - Monroe Township,SC,,One Way Trip,10 Costco Drive,US,NJ,Monroe Township,8831,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.3574782,-74.4600236,,,SERVICE CENTER,,
USWA,CHEP/Costco - Monrovia,SC,,One Way Trip,5236 Intercoastal Drive,US,MD,Monrovia,21770,ACTIVE,US10,SVC,TPM,SERVICE CENTER,39.3745898,-77.2813342,,,SERVICE CENTER,,
USR4,CHEP/Costco - Morris,SC,,One Way Trip,3800 North Division,US,IL,Morris,60450,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.3957873,-88.4250678,,,SERVICE CENTER,,
USVU,CHEP/Costco - Sumner,SC,,One Way Trip,"4000a 142nd Avenue, E.",US,WA,Sumner,98390,ACTIVE,US10,SVC,TPM,SERVICE CENTER,47.2207441,-122.2416926,,,SERVICE CENTER,,
US4J,CHEP/Costco - Tracy,SC,,One Way Trip,25862 South Schulte Court,US,CA,Tracy,95376,ACTIVE,US10,SVC,TPM,SERVICE CENTER,37.7186516,-121.5258503,,,SERVICE CENTER,,
USGZ,CHEP/Costco - West Palm Beach,SC,,One Way Trip,5851 45th Street,US,FL,West Palm Beach,33407,ACTIVE,US10,SVC,TPM,SERVICE CENTER,26.7631482,-80.1313544,,,SERVICE CENTER,,
